Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Renaiss. Global,532923,RGL,Diamond Cutting / Jewellery,103.05,990.12,338.13,13.68,0.86,0,0.57,146.35,84.75,0,67.28,100,68.57,27.59,34.21,33.33,33.92,80,0.54,0.93,18.31,2.33,-20.46,-7.25,171558,1.77,119.99,122.53,94.35,122.53,143.04,176.81,9.23,18.9,2.05,10.27,7.53,7.98,3.73,6.66,0.47,6.57,9.37,0.52,1110.44,231.45,319.85,1.05,3,1
Crest Ventures,511413,CREST,Finance & Investments,347.6,988.78,309.77,15.93,0.9,0.29,0.19,525,181.2,0,72.31,100,80,31.03,57.89,57.14,57.64,25,32.99,51.56,87.69,14.85,-21.91,-9.54,28004,0.97,475.67,338.32,437.08,338.32,394.95,488.2,-20.47,-2.67,0.13,22.16,21.82,8.41,4.86,5.96,5.39,-3.58,9.96,0.31,1002.8,639.06,883.16,1.13,7,1
Sportking India,539221,SPORTKING,Textiles - Spinning - Synthetic / Blended,775.15,988.59,267.01,14.05,1.09,0,0.97,970.95,669.05,0,71.45,100,65.71,44.83,31.58,52.38,38.51,60,-30.81,19.61,15.11,-3.96,-6.46,-8.82,4233,0.33,710.74,863.6,600.05,863.6,1008.15,1246.17,29.18,11.41,0.39,143.48,55.36,9.6,3.98,8.16,0.42,-17.72,7.73,0.12,1041.4,1631.24,2254.33,1.03,4,1
Orient Paper,502420,ORIENTPPR,Paper,46.45,988.53,648.67,158.67,0.61,2.15,0.2,59.8,40,32.18,35.28,40,37.14,27.59,28.95,9.52,22.47,60,-36.8,19.24,9.17,14.83,-7.93,-10.84,2434906,11.31,40.38,47.62,36.96,47.62,55.6,68.72,25.69,2.53,0.1,3.54,0.29,2.29,0.27,0.4,1.19,-12.22,15.15,1.74,1058.88,89.96,124.32,1.03,5,1
Assoc.Alcohols,507526,ASALCBR,Breweries & Distilleries,547.4,987.2,376.95,19.5,2.34,0.18,0.26,637.2,385.95,0,67.48,80,71.43,48.28,52.63,57.14,54.14,65,12.64,8.38,40.59,21.42,0.7,-1.39,75623,4.14,554.6,592.35,436.06,592.35,691.5,854.76,25.53,8.21,0.32,45.03,28,14.47,8.75,12.88,1.3,-24.54,12.21,1.1,925.95,1118.89,1546.27,1.05,6,1
Silver Touch,543525,SILVERTUC,Computers - Software - Medium / Small,777.9,986.39,196.79,61.42,8.74,0.06,0.1,854.25,354.4,0,85.1,100,91.43,60.34,57.89,76.19,63.99,75,36.8,114.93,116.41,14.1,10.65,13.05,39158,3.05,826.72,671.96,722.2,671.96,784.44,969.64,7.71,-13.62,-1.77,11.7,12.66,20.01,10.04,15.44,4.34,3486.82,35.39,1.55,767.49,1269.26,1754.08,1.1,4,1
Tuticorin Alkali,506808,,Chlor Alkali / Soda Ash,80.89,985.53,261.87,13.39,12.45,0,0.1,117,55,0,72.55,100,60,55.17,31.58,14.29,25.81,55,-7.51,91.21,28.7,-16.22,-15.55,-11.27,27563,0.22,95.11,84.3,79.96,84.3,98.41,121.65,1.16,4.22,3.64,9.32,5.71,146.32,15.4,165.67,3.08,1606.37,12.77,0.09,1047.48,159.24,220.06,1.08,4,1
U P Hotels,509960,,Hotels,1818.3,981.88,80.11,30.86,6.48,0,0,1999,556.6,0,83.14,100,82.86,63.79,63.16,71.43,65.91,75,36.8,,192.8,104.42,29.01,1.22,267,0.05,1748.03,1055.34,1690,1055.34,1231.99,1522.86,7.59,-41.96,-5.53,67.01,58.93,31.09,19.29,23.44,6.7,90.66,18.47,0.06,690.01,1993.42,2754.85,1.18,6,1
CSL Finance,530067,CSLFINANCE,Finance & Investments,422.8,972.47,435.84,15.35,2.03,0.59,1.06,517.7,213.45,0,82,70,91.43,85,68.42,90.48,75.77,40,36.8,75.18,98.59,0.27,-7.95,-1.26,37833,1.6,454.1,367.48,397.42,367.48,429,530.28,6.39,-13.08,-2.05,35.73,27.81,14.68,7.18,15.16,5.87,-6.29,10.88,0.37,833.51,694.14,959.28,1.1,6,1
InfoBeans Tech.,543644,INFOBEAN,Computers - Software - Medium / Small,400.15,969.88,287.55,43.16,3.29,0.25,0.08,554.95,361.65,0,83.55,100,91.43,55.17,34.21,85.71,51.38,55,-4.45,18.11,-12.75,-2.01,-1.47,2.56,11919,0.48,404.13,464.41,342.96,464.41,542.14,670.14,16.68,16.06,0.96,17.95,9.25,11.67,5.54,7.92,2.63,15.48,14.49,0.17,1113.67,877.21,1212.28,1.04,3,0
Sastasundar Ven.,533259,SASTASUNDR,Finance & Investments,304.2,969.8,313.41,165.78,1.27,0,0.01,506.75,249.05,0,75.41,100,80,41.38,63.16,38.1,54.8,50,36.8,13.48,8.68,-34.73,-13.99,-1.39,57367,1.75,507.49,463.56,420.57,463.56,541.15,668.91,-27.67,52.39,-1.89,3.16,2.79,5.67,0.5,0.77,0.7,-6.17,14.05,0.56,1201.72,875.6,1210.06,1.07,3,0
Faze Three,530079,FAZE3Q,Textiles - Processing,398.8,968.49,468.74,20.79,2.55,0.13,0.45,540,340,0,68.52,80,71.43,51.72,42.11,19.05,34.42,55,-8.78,61.94,14.68,-13.97,-5.5,-6.42,11892,0.47,462.55,513.55,363.68,513.55,599.51,741.05,9.66,28.77,2.98,34.3,19.16,13.92,8.18,13.03,1.72,-421.95,11.34,0.1,1069.2,970.03,1340.56,1.04,5,1
Algoquant Fin,505725,,Finance & Investments,1201.75,965.73,293.08,98.54,21.82,0,0.54,1619.8,528.9,0,75.5,80,80,65,50,71.43,57.14,55,36.8,217.32,108.44,22.93,-24.97,-3.73,4482,0.54,1469.71,1002.82,1369.42,1002.82,1170.68,1447.07,-12.24,-16.55,1.35,15.44,12.38,22.11,13.29,24.95,15.05,-50.57,62.2,0.18,859.48,1894.22,2617.75,1.14,5,1
Marsons,517467,,Electric Equipment,68.81,963.34,251.59,1529.11,67.75,0,0.63,72.98,4.95,0,62.38,80,65.71,37.93,47.37,38.1,44.28,100,36.8,90.65,863.73,708.58,150.4,36.91,590298,4.06,38.04,9.67,45.1,6.7,7.82,9.67,52.57,-85.95,-1.64,0.72,0.04,3.09,2.37,7.31,149.12,173.99,730.89,1.61,545.51,12.65,17.48,1.96,1,0
Emkay Taps & Cut,,EMKAYTOOLS,Engineering,894,954.01,170.87,13.27,3.19,0,0.02,917,360,0,81.72,100,71.43,72.41,63.16,9.52,45.28,50,36.8,88.7,144.26,41.77,37.54,25.92,4800,0.43,873.47,984.96,775.25,682.58,796.83,984.96,15.32,10.17,0.66,78.71,67.38,38.99,27.99,31.83,9.22,36.17,10.3,0.25,683.2,1289.31,1781.79,1.11,4,1
Yamuna Syndicate,540980,,Trading,30999.9,952.83,166.42,7.67,0.8,1.05,0,33449,10701,0,75.31,100,88.57,31.03,55.26,47.62,52.72,50,19.18,26.4,161.71,3.57,16.98,13.22,18,0.06,25291.49,24520.43,23683.47,16992.66,19837.03,24520.43,30.89,-20.9,-0.68,3819.89,4041.96,11.29,10.99,11,14.88,-427.26,7.18,0.03,662.25,32097.24,44357.46,1.15,3,0
Newtime Infra.,531959,,Construction,18.13,951.53,195.96,591.02,46.12,0,2.32,21.89,3.02,0,65,100,60,30,50,80.95,60.32,70,36.8,,475.56,90.24,13.88,6.58,190860,0.35,17.04,5.73,18.51,5.73,6.68,8.26,-2.03,-68.42,33.64,0.02,0.15,1.97,0.66,7.91,128.24,-15023.09,187.71,0.18,653.64,10.82,14.95,1.44,2,0
Vardhman Hold.,500439,VHL,Finance & Investments,2943.45,951.3,249.51,5.15,0.28,0.17,0,3787.9,2425,0,68.24,100,74.29,24.14,50,61.9,53.97,60,4.91,6.42,11.67,-2.93,-7.31,-3.93,1136,0.33,3046.34,3439,2395.22,3439,4014.65,4962.49,22.89,16.84,0.74,1016.62,579.26,6.07,5.78,5.78,63.85,-428.79,4.88,0.13,994.06,6495.9,8977.14,1.04,5,0
Eco Recyc.,530643,,Miscellaneous,492.05,949.49,199.03,52.11,14.43,0,0.09,674.9,99,0,78.52,100,80,51.72,63.16,52.38,59.57,45,36.8,108.55,342.09,25.67,-0.92,-17.74,25492,1.25,529.35,187.71,570.58,187.71,219.13,270.86,-13.76,-61.85,4.49,13.04,9.44,37.23,25.39,32.64,33.9,-61.02,40.26,0.63,746.81,354.56,489.99,1.41,4,1
Zodiac Energy,543416,ZODIAC,Engineering - Turnkey Services,649.45,947.58,157.9,86.38,19.98,0,0.85,694.95,102.35,0,91.5,100,80,95,81.58,80.95,81.37,90,36.8,232.92,524.77,347.59,55.71,22.38,12876,0.84,545.35,280.03,587.53,194.06,226.54,280.03,10.54,-56.88,-5.4,7.24,7.5,22.52,10.43,26.24,4.31,-320.7,49.07,0.53,582.03,366.56,506.57,1.41,5,1
Alliance Integ.,534064,,Steel - Medium / Small,71.79,945.11,227.49,,,0,,73.99,19.3,0,48.28,80,34.29,27.59,28.95,71.43,43.11,75,,259.12,157.96,86.52,29.73,6.25,104090,0.75,49.46,40.93,48.48,28.36,33.11,40.93,48.07,-42.99,-0.89,1.54,4.88,,-24.81,,13.99,177.14,94.24,0.33,613.85,53.57,74.04,1.2,2,0
Electrotherm(I),526608,ELECTHERM,Steel - Medium / Small,742.3,944.71,406.37,2.98,,0,,850,78,0,56.16,30,74.29,65.52,65.79,76.19,69.26,50,36.8,83.9,639.71,235.58,37.78,-7.23,2248,0.17,634.75,147.89,718.61,147.89,172.65,213.41,3.3,-80.08,-24.29,152.97,249.03,40.17,17.66,,0.22,5.53,6.25,0.04,589.28,279.35,386.06,1.69,4,0
MSP Steel & Pow.,532650,MSPL,Steel - Medium / Small,24.55,943.47,469.68,65.75,1.62,0,1.34,33.4,8.35,0,42.98,10,71.43,48.28,47.37,33.33,42.69,55,36.8,31.28,185.47,9.11,-23.64,-10.4,875641,2.15,28.56,15.83,28.24,15.83,18.48,22.85,-13.06,-35.51,2.72,0.83,0.37,7.83,0.87,2.56,0.33,20.39,10.24,0.46,804.52,29.9,41.33,1.21,3,1
Prakash Pipes,542684,PPL,Plastics Products,394.4,941.87,434.91,10.51,2.58,0.3,0.11,493,160.05,0,84.86,80,88.57,86.21,63.16,76.19,67.5,15,36.8,37.61,139.9,-3.36,-5.51,1.41,95400,3.76,438.23,297.72,408.91,297.72,347.55,429.61,-3.55,-24.51,6.91,43.25,37.48,32.69,21.39,27.85,1.41,16.85,6.22,0.87,780.39,562.36,777.16,1.15,5,1
Mafatlal Inds.,500264,,Textiles - Composite,131.5,940.27,240.18,9.52,1.15,0,0.1,173,50.65,0,63.31,100,54.29,31.03,73.68,71.43,72.93,15,36.8,80.66,151.19,-8.81,-7.43,-1.98,31243,0.41,152.98,96.03,146.26,96.03,112.11,138.58,-10.09,-26.97,2.67,10.24,13.89,5.25,1.7,3.13,0.45,68.95,6.9,0.17,799.55,181.4,250.69,1.17,5,0
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small,96.45,939.95,436.98,14.68,2.12,0,0.31,128.45,58.25,0,69.55,80,71.43,55.17,47.37,80.95,58.56,70,10.89,10.47,62.37,12.54,-23.97,-4.46,2315880,22.34,98,98.94,83.33,84.75,98.94,122.3,15.74,2.58,0.16,10.13,6.57,16.17,10.19,15.68,0.96,412.63,9.88,5.11,909.23,160.09,221.24,1.08,2,1
Shivalik Rasayan,539148,SHIVALIK,Pesticides / Agrochemicals - Indian,600.5,934.16,562.66,57.1,1.84,0.08,0.15,893,492.9,40.34,59.21,80,71.43,20.69,21.05,42.86,28.32,55,-8.55,-6.23,-20.33,-13,0.42,-9.51,22533,1.35,667.8,768.57,551.87,658.36,768.57,950.02,8.81,27.99,3.18,13.76,10.51,5.8,2.84,3.77,3.42,-15.77,22.53,0.24,1081,1243.58,1718.59,1.06,3,1
Vasu Bhagnani,532011,,Entertainment / Electronic Media Software,266.8,933.89,126.93,115.44,11.91,0,0.31,266.8,22.39,0,69.41,100,62.86,41.38,60.53,66.67,62.57,100,36.8,198.51,1031.95,374.4,153.37,65,2960,0.08,197.81,61.26,225.56,42.45,49.56,61.26,18.28,-77.04,-4.21,2.42,2.31,15.05,5.53,13.39,16.08,-59.62,80.56,0.06,506.08,80.19,110.82,1.76,2,1
Eldeco Housing,523329,ELDEHSG,Construction,945.95,932.8,386.45,27.55,2.51,0.85,0.23,1175,571,0,62.31,80,71.43,31.03,28.95,33.33,30.41,70,-19.7,29.75,62.07,33.96,16.6,-15.66,2370,0.22,836.26,885,726.15,758.1,885,1093.94,30.27,-6.44,-0.21,67.34,34.44,12.02,5.42,9.47,8.28,-33.99,18.36,0.06,855.54,1431.97,1978.94,1.07,4,1
Suraj Products,518075,,Steel - Medium / Small,817.65,932.12,165.2,32.22,7.15,0.18,0.32,951,151,0,88.72,100,91.43,72.41,57.89,9.52,41.77,90,15.87,173.42,405.19,118.07,67.45,10.8,12487,1.02,701.82,384.66,748.59,266.57,311.19,384.66,9.23,-52.96,-5.74,70.7,25.38,25.99,16.17,24.78,2.7,56.22,18.57,0.62,628.14,503.52,695.85,1.37,4,0
Gloster Ltd,542351,GLOSTERLTD,Textiles - Jute - Yarn / Products,851.05,931.77,248.41,38.27,0.84,5.29,0.17,998.7,666.65,0,65.31,100,60,31.03,23.68,57.14,34.84,65,-28.19,30.25,20.78,4.26,-4.11,-5.07,5427,0.46,670.87,789.66,617.2,789.66,921.84,1139.48,37.89,-7.21,-0.19,66.33,22.25,3.29,1.76,2.22,1.44,-21.71,13.88,0.19,907.62,1491.58,2061.31,1.03,3,1
NINtec Systems,539843,NINSYS,Computers - Software - Medium / Small,501.5,930.31,440.42,66.12,27.78,0,0.07,652.5,246.11,0,78.28,80,77.14,77.59,81.58,90.48,84.54,40,36.8,314.54,110.2,13.71,-3.3,12.68,42911,2.15,614.65,466.64,551.64,466.64,544.75,673.36,-9.09,-6.95,0.76,7.39,7.57,67.66,39.59,53.2,14.37,212,46.7,0.49,835.71,881.42,1218.1,1.12,6,1
Nahar Spinning,500296,NAHARSPING,Textiles - Products,256.25,927.77,353.36,,0.62,0.59,0.78,361.95,232,0,55.24,100,37.14,24.14,28.95,42.86,33.58,75,-36.8,19.72,-2.66,-16.64,-20.63,-10.17,28561,0.73,193.18,218.34,223.69,218.34,254.89,315.07,14.56,-14.79,-1.02,52.84,-14.15,0.43,-1.67,-2.98,0.3,3.03,20.96,0.21,1072.08,412.42,569.96,1.04,4,1
Krishna Defence,,KRISHNADEF,Diversified - Medium / Small,676.85,927.62,204.99,94.75,9.4,0,0.09,774.05,170.85,0,76.55,100,71.43,55.17,57.89,9.52,41.77,90,36.8,,244.37,124.49,77.65,59.07,140000,9.48,646.31,323.94,654.4,323.94,378.16,467.45,3.43,-52.14,-15.2,9.42,7.14,26.33,11.56,26.7,8.72,-204.7,53.5,4.62,647.26,611.89,845.61,1.25,3,0
Z F Steering,505163,,Auto Ancillaries,1018.85,924.09,254.83,19.36,2,0.49,0.07,1125,580.95,0,80.45,100,91.43,44.83,39.47,14.29,31.08,45,36.8,28.35,66.98,30.61,14.4,-8.23,1417,0.14,1166.87,1101.51,951.1,1101.51,1285.89,1589.48,7.12,8.11,1.14,57.47,52.59,11.9,9.04,10.81,1.93,81.07,10.45,0.06,776.21,2080.63,2875.37,1.07,2,1
Pakka,516030,PAKKA,Paper,235.25,921.43,515.8,18.93,3.48,1.02,0.69,399,105.05,0,53.19,10,82.86,68.97,52.63,14.29,39.85,55,7.15,37.75,125.55,-3.11,-26.52,-15.64,370203,8.71,302.75,174.91,296.21,174.91,204.18,252.39,-20.58,-25.65,1.25,25.22,12.43,21.36,10.87,20.36,2.28,50.41,10.83,1.69,987.94,330.38,456.57,1.2,5,1
Primo Chemicals,506852,,Chlor Alkali / Soda Ash,37.98,920.42,873.28,,2.42,0,0.47,71,34,39.17,47.48,40,54.29,48.28,31.58,19.05,27.4,35,-36.8,27.46,-43.41,-24.76,-10.85,-18.16,416983,1.58,41.28,37.05,43.88,37.05,43.25,53.47,-13.44,-2.44,0.18,2.28,-1.07,-2.38,-3.61,-6.57,2.32,-18.2,41.64,0.18,1272.08,69.99,96.72,1.08,5,1
Axtel Industries,523850,,Engineering,565.75,913.95,458.23,28.45,8.09,1.06,0,850.3,280,0,87.9,80,94.29,89.66,52.63,9.52,38.26,35,27.46,24.02,85.61,-17.5,-10.75,-12.91,11066,0.63,770.13,528.84,716.08,528.84,617.36,763.11,-20.99,-6.52,0.31,21.59,19.89,42.53,17.14,30.72,4.09,68.93,18.83,0.14,915.54,998.92,1380.47,1.14,3,0
Transpek Inds.,506687,,Chemicals,1636.25,913.94,464.67,23.7,1.36,1.68,0.1,2287,1615,0,73.52,80,85.71,51.72,23.68,9.52,18.96,55,-28.65,1.9,-15.14,-10.26,-13.72,-9.52,1592,0.26,1737.1,2163.07,1413.37,2163.07,2525.14,3121.31,15.77,32.2,2.04,152.57,69.03,9.47,4.16,6.12,1.58,20.33,8.87,0.06,1092.56,4085.8,5646.46,1.03,4,0
Moneyboxx Fin.,538446,,Finance & Investments,299.7,913.84,366.41,99.98,5.41,0,2.64,319,141.55,0,54,70,54.29,35,71.05,90.48,77.53,90,36.8,62.38,84.09,11.66,15.74,6.88,22134,0.66,315.02,387.28,269.69,268.39,313.31,387.28,11.13,29.22,2.63,2.41,3,11.46,1.83,7.46,7.16,-6.56,21.97,0.18,702.34,506.95,700.59,1.09,4,1
Heubach Colorant,506390,HEUBACHIND,Dyes And Pigments,394.5,913.07,503.26,22.19,1.93,0,0.06,654.9,300,54.03,68.45,80,77.14,44.83,39.47,19.05,32.66,30,21.53,-6.97,26.5,-27.87,-24.99,-2.93,158571,6.26,593.13,516.54,502.79,516.54,603.01,745.37,-21.54,30.94,-1.44,20.88,17.82,12.49,5.93,9.09,1.15,47.32,10.23,1.24,1102.91,975.7,1348.38,1.08,3,1
Royal Orch.Hotel,532699,ROHLTD,Hotels,332.55,911.65,363.36,18.8,4.78,0.6,1.05,449,279.65,0,78.59,100,74.29,58.62,50,42.86,47.62,15,30.09,60.65,1.64,7.07,-17.58,-14.54,551223,18.33,449.32,493.47,353.28,493.47,576.07,712.08,-5.87,48.39,-8.25,24.07,17.68,19.75,11.38,26.66,3.1,24.86,11.14,5.04,998.25,932.11,1288.15,1.04,4,1
NCL Industries,502168,NCLIND,Cement - South India,200.55,907.15,556.95,9.63,1.06,1.5,0.25,258.25,179.55,0,58.52,40,82.86,51.72,71.05,66.67,69.59,0,36.8,-0.02,5.61,-9.5,-11.65,-3.44,94389,1.89,259.24,317.82,203.83,317.82,371.02,458.62,-1.61,58.48,-36.35,31.14,20.83,15.94,6.15,11.56,0.48,14.1,4.78,0.34,989.43,600.33,829.64,1.03,6,0
MKVentures Cap.,514238,,Finance & Investments,2358.9,906.63,184.2,43.01,9.67,0,0,2800,981,0,70.48,100,60,48.28,71.05,42.86,61.65,40,36.8,371.11,78.63,106.38,27.57,-6.85,840,0.2,2586.2,1860.02,2367.19,1860.02,2171.37,2684.02,-0.35,-21.15,60.41,57.03,54.85,20.57,9.59,33.58,23.23,-5.18,22.66,0.11,718.39,3513.38,4855.38,1.13,5,0
Cosmic CRF,543928,,Steel - Medium / Small,1103.85,904.94,223.74,70.98,4.31,0,0.07,1226.9,181,0,69.38,100,65.71,37.93,26.32,4.76,19.13,50,36.8,,,260.97,22.65,13.42,15600,1.72,963,343.18,1037.25,343.18,400.63,495.22,6.42,-68.91,-10.73,18.72,15.55,39.83,18.54,111.94,3.57,-42.58,37.81,0.77,577.24,648.24,895.85,1.4,1,0
Meson Valves Ind,543982,,Trading,889.6,903.84,,99.87,,0,0.09,1030,193.8,47.64,49.98,30,71.43,48.28,47.37,9.52,34.75,85,36.8,,,119.98,30.51,-10.74,6200,0.55,837.08,367.45,870.79,367.45,428.96,530.24,2.16,-58.69,-27.17,17.51,,44.04,20.07,45.09,14.31,,60.61,,,694.08,959.2,1.3,2,0
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small,742.6,903.33,238.96,16.25,4.05,1.62,0,935,544.95,0,94.34,100,97.14,84.48,71.05,85.71,75.94,45,22.15,32.62,36.23,10.77,-7.68,-12.26,34033,2.53,884.03,908.56,695.08,908.56,1060.64,1311.05,6.84,22.35,3.27,71.47,45.74,36.25,24.98,27.46,5.29,21.47,11.77,1.06,902.77,1716.16,2371.69,1.05,8,1
Cheviot Company,526817,CHEVIOT,Textiles - Jute - Yarn / Products,1499.6,901.99,205.96,13,1.44,1.8,0.01,1626.7,1100.95,0,77.86,100,91.43,36.21,47.37,28.57,41.1,70,11.05,10.33,33.85,21.97,10.22,12.41,8365,1.25,1416.47,1690.48,1113.72,1690.48,1973.44,2439.36,34.65,12.73,0.37,160.36,115.33,14.04,10.66,11.58,1.95,24.3,9.88,0.61,818.3,3193.13,4412.81,1.03,3,1
HP Adhesives,543433,HPAL,Chemicals,97.9,899.45,280.84,44.07,5.33,0,0.02,131,82.33,0,84.52,100,97.14,51.72,52.63,71.43,58.9,35,36.8,,16.34,-4.35,-19.49,-5.64,152389,1.49,133.58,148.03,105.03,148.03,172.81,213.61,-6.79,51.21,-7.55,2.48,2.24,18.11,10.67,12.87,3.81,-66.19,26.23,0.53,980.25,279.62,386.43,1.04,3,0
Global Surfaces,543829,GSLSU,Miscellaneous,212.35,899.34,282.67,48.09,2.72,0,0.44,333,167.5,0,74.45,100,74.29,44.83,36.84,76.19,49.96,80,0.19,,7.76,5.25,-31.58,-10.27,43125,0.92,237.76,220.57,205.79,220.57,257.49,318.28,3.19,3.87,1.22,6.8,4.41,6.58,4.02,6.32,3.99,-17.26,26.85,0.32,1061.06,416.63,575.77,1.07,2,1
Permanent Magnet,504132,,Electronics - Components,1041.15,895.39,473.55,44.33,6.89,0.14,0.19,1721,901.7,0,60.21,80,74.29,20.69,21.05,4.76,15.62,25,0,51.43,11.36,-25.99,-4.21,-16.12,14327,1.49,1311.35,1249.76,1063.58,1249.76,1458.95,1803.4,-2.11,20.04,-9.5,31.46,23.49,,,,4.44,,22.62,0.31,1127.76,2360.65,3262.35,1.06,1,0
Aurum Proptech,539289,AURUM,Computers - Software - Medium / Small,145.2,894.44,219.53,,2.34,0,1.77,186.55,115.15,0,43.78,70,31.43,27.59,31.58,66.67,43.27,75,-32.56,37.81,23.57,10.33,1.86,-6.59,123230,1.79,100.17,109.03,115.29,109.03,127.28,157.33,25.95,-24.91,-0.96,13.36,-19.14,-11.99,-12.45,-27.07,4.18,-6.79,53.82,0.82,438.97,205.95,284.62,1.04,5,1
Indl.& Prud.Inv.,501298,,Finance & Investments,5330,893.22,216.18,18.06,1.16,1.13,0,5889.4,2101,0,77.41,100,85.71,41.38,47.37,23.81,39.52,90,10.19,59.55,146.53,31.93,-0.91,-2.91,2,0,4463.26,4694.29,4066.06,3253.14,3797.68,4694.29,31.09,-11.93,-0.38,497.95,295.14,7.23,6.87,7.12,147.64,94.71,17.75,0,679.18,6144.82,8491.97,1.13,3,0
Bodal Chemicals,524370,BODALCHEM,Dyes And Pigments,70.95,892.73,443.84,137.98,0.82,0.14,0.78,100.95,64.65,0,49.28,80,37.14,27.59,15.79,19.05,16.88,70,-36.8,-11.28,9.91,-9.85,-22.54,-8.8,309351,2.19,55.14,62.27,62.39,62.27,72.69,89.85,13.73,-12.24,-0.89,4.86,0.51,3.13,0.29,0.6,0.64,-11.5,14.28,0.49,1041.62,117.61,162.54,1.04,1,1
AGS Transact,543451,AGSTRA,Computers - Hardware,72.5,885.83,381.31,,1.92,0,2.43,126.75,54.15,0,46.21,80,34.29,20.69,26.32,38.1,30.24,45,-36.8,,22.05,-24.16,-18.86,-4.23,303666,2.2,57.16,47.43,78.33,47.43,55.37,68.45,-7.44,-34.58,4.64,2.36,-6.55,1.34,-3.66,-16.07,0.6,5.08,8.02,0.58,1106.2,89.6,123.82,1.09,2,0
CFF Fluid,543920,,Engineering,452.3,880.81,185.86,51.54,6.99,0.11,0.19,548.95,165,0,77.48,100,80,48.28,44.74,0,29.82,30,36.8,,,1.39,-4.12,3.47,52400,2.37,488.34,312.85,464.1,312.85,365.21,451.44,-2.54,-30.83,12.13,7.35,8.78,37.27,19.27,68.39,8.24,-62.48,28.73,1.28,696.1,590.93,816.65,1.16,3,1
VLS Finance,511333,VLSFINANCE,Finance & Investments,252.75,879.81,400.66,2.71,0.29,0.59,0,322.2,146.2,0,68.41,80,80,41.38,57.89,38.1,51.29,0,36.8,28.1,57.04,27.85,-9.39,-6.11,94689,2.39,320.39,277.2,272.4,277.2,323.6,400,-7.21,9.67,-1.34,86.51,93.21,14.09,9.81,11.83,2.16,16.1,2.13,0.6,815.02,523.6,723.61,1.08,5,1
Magadh Sugar,540650,MAGADSUGAR,Sugar,629.8,879.39,334.8,7.55,1.19,1.11,0.85,865.65,352.65,0,80.07,100,80,56.9,60.53,57.14,59.4,5,36.8,43.54,72.81,-20.46,0.5,-4.39,5721,0.36,833.32,668.64,731.84,668.64,780.56,964.85,-13.94,6.17,-0.44,74.66,82.61,14.53,7.71,16.81,0.8,22.81,7.06,0.11,858.9,1262.99,1745.41,1.1,5,1
Wealth First Por,,WEALTH,Finance & Investments,822.7,876.59,176.23,20.68,7.47,0.36,0,981.35,286.05,0,91.28,100,94.29,77.59,76.32,90.48,81.04,15,36.8,88.41,179.97,108.28,72.6,8.16,12660,1.04,866.9,542.36,829.66,542.36,633.15,782.63,-0.84,-34.08,40.64,35.46,39.77,56.84,41.42,43.78,16.28,47.12,15.74,0.59,678.06,1024.47,1415.78,1.17,7,0
Rushil Decor,533470,RUSHIL,Miscellaneous,329.75,876.26,385.93,20.33,1.61,0.15,0.54,406.9,261,0,65.38,80,74.29,37.93,31.58,23.81,28.99,55,-6.09,13.74,17.6,-11.06,-5.53,4.82,75627,2.49,348.81,394.53,274.26,394.53,460.57,569.31,20.23,19.65,0.97,20.5,16.24,11.63,4.11,9.51,1.04,123.08,9.45,0.65,884.97,745.23,1029.89,1.04,4,0
EKI Energy,543284,,Miscellaneous,318.2,875.81,360.2,,2.12,0,0,717.85,268.1,0,80.52,100,85.71,51.72,31.58,57.14,40.1,45,-36.8,36.36,-17.37,-22.13,-19.26,-9.02,45559,1.45,311.56,234.84,443.63,234.84,274.15,338.88,-28.27,-26.2,0.93,26.35,-45.33,-23.96,-16.17,-26.19,3.38,11.63,-6.99,0.4,1355.68,443.59,613.03,1.12,5,1
TGV Sraac,507753,,Chlor Alkali / Soda Ash,81.22,869.78,420.66,27.27,0.79,1.23,0.29,132.75,80.6,0,69.52,100,54.29,51.72,18.42,4.76,13.87,25,-36.8,33.94,-18.22,-18.49,-16.46,-14.41,306621,2.49,92.35,98.87,82.04,98.87,115.42,142.68,-1,21.74,-21.76,14.68,5.67,5.01,1.84,2.98,0.56,4.64,7.6,0.59,1142.49,186.76,258.1,1.05,4,1
Selan Expl. Tech,530075,SELAN,Oil Drilling / Allied Services,572.45,869.36,527.55,26.55,2.21,0,0.01,736.2,262,0,54.45,40,77.14,44.83,63.16,95.24,73.85,40,36.8,58.49,114.8,12.23,16.07,-9.77,62049,3.55,664.02,483.12,605.31,483.12,563.99,697.14,-5.43,-15.6,2.87,22.15,21.54,12.28,7.18,8.69,5.25,40.83,16.47,0.67,758.63,912.56,1261.13,1.13,5,1
