Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Relicab Cable,539760,,Cables - Power,105.3,106.3,64.4,69.03,8.94,0,0.92,120,57,0,39.55,0,65.71,55.17,42.11,28.57,37.59,85,17.88,62.13,52.83,13.69,11.66,4.7,164,0,107.5,112.02,90.08,95.96,112.02,138.47,16.9,6.38,0.38,1.91,1.53,20.26,4.45,13.47,2.8,46.85,24.29,0,89.39,181.26,250.49,1.08,1,1
Grob Tea Co,,GROBTEA,Tea,909.95,105.77,27.45,,1.34,0.22,0.12,1087,742.05,0,69.31,100,71.43,31.03,39.47,52.38,43.78,65,-32.33,-0.02,19.84,0.53,-2.29,-11.95,504,0.05,671.67,808.54,671.77,808.54,943.88,1166.73,35.46,-11.14,-0.31,49.87,-0.09,1.35,-0.01,-0.01,1.06,-162.17,21.37,0.17,109.74,1527.25,2110.61,1.03,6,1
Kothari Ferment.,507474,,Food - Processing - Indian,70.43,105.65,28.28,,1.89,0,0.84,105,45.3,0,49.17,100,25.71,17.24,23.68,23.81,23.73,75,-36.8,2.71,23.22,-3.51,-10.71,-13.31,14449,0.1,47.49,57.26,64.89,39.68,46.32,57.26,8.54,-18.7,-2.19,1.31,-3.27,-0.4,-3.73,-8.41,0.97,133.17,29.26,0.36,112.73,74.95,103.58,1.09,3,1
Key Corp,507948,,Finance & Investments,176,105.6,21.24,3.34,1.67,0,0,176.2,52.75,0,81.72,100,71.43,72.41,71.05,85.71,75.94,50,36.8,125.01,218.78,179.5,100.34,36.73,3223,0.06,156.6,144.32,148.96,100.02,116.76,144.32,18.15,-18,-0.99,77.98,52.62,57.25,56.92,57.25,3.3,-240,3.33,0.27,68.69,188.92,261.08,1.16,7,0
Scoobee Garments,531234,,Textiles - Products,78.2,105.57,32.75,28.23,32.79,0,16.29,131,63,0,71.48,100,62.86,48.28,21.05,9.52,17.21,25,-18.66,-8.17,-33.25,-1.72,-4.41,-6.46,3399,0.03,92.84,83.58,80.96,83.58,97.57,120.6,-3.41,6.88,-2.02,3.63,2.77,11.91,6.17,277.04,2.63,11.59,16.84,0.08,130.95,157.87,218.17,1.08,2,0
PS IT Infra,505502,,Finance & Investments,19.62,105.48,127.29,,3.08,0,0.01,28.66,19.62,0,27.24,0,57.14,24.14,18.42,23.81,20.22,70,-36.8,,,,,,1004,0,14.24,17.19,17.71,17.19,20.06,24.8,10.77,-12.4,-1.15,0.99,-3.8,-60.94,-42.94,-45.91,5.09,130.85,-3.78,0,129.87,32.46,44.86,1.03,2,1
Prerna Infra.,531802,,Construction,29.04,104.91,36.12,20.14,1.04,0,0.34,38.8,20.9,0,66.24,100,68.57,24.14,55.26,33.33,47.95,15,36.8,35.36,-0.41,5.75,-14.99,2.87,93902,0.27,40.83,39.63,32.8,39.63,46.26,57.18,-11.47,36.46,-3.18,2.89,1.44,8.48,4.78,6.99,2.31,138.55,12.54,0.75,107.76,74.85,103.44,1.06,4,1
Ahasolar Technol,543941,,Trading,339.55,104.66,84.12,2616.55,6.66,0,0,657.75,203,0,47.91,30,71.43,41.38,23.68,9.52,18.96,40,-36.8,,,47.63,-43.97,-32.41,23200,0.79,376.36,246.05,406.49,246.05,287.23,355.04,-16.47,-27.54,1.67,6.29,0.13,1.51,0.77,1.01,2.49,-80.76,278.97,0.94,133.42,464.75,642.27,1.16,2,0
Dollex Agrotech,,DOLLEX,Sugar,41.9,104.61,32.52,14.9,1.81,0,1.74,57.9,34,0,50.28,100,20,27.59,55.26,9.52,40.02,15,30.47,,10.55,-23.89,-8.91,-1.87,36000,0.15,58.14,60.2,45.71,60.2,70.28,86.87,-8.34,43.67,-5.24,4.22,2.81,12.18,4.18,14.04,0.77,-8.96,13.82,0.46,114.88,113.71,157.14,1.05,2,1
Sh. Krish. Infr.,542146,,Construction,99.5,104.48,51.02,3482.67,9.19,0,0,102.53,51,0,39.64,30,71.43,13.79,42.11,14.29,32.83,95,16.58,,112.61,,40.14,11.8,0,0,85.37,91.77,70.47,78.61,91.77,113.44,41.2,-7.77,-0.19,0.16,0.03,0.35,0.26,0.26,120.09,-45.79,1155.78,0,84.44,148.49,205.21,1.07,2,0
Krishanveer Forg,513369,,Castings & Forgings,95.2,104.15,25,26.1,2.66,0,0,121.5,45.1,0,77.48,100,80,48.28,36.84,33.33,35.67,35,36.8,23.7,101.57,80.65,26.93,-15.95,3080,0.03,113.95,85.51,102.72,85.51,99.83,123.39,-7.32,-10.18,1.39,5.41,3.65,16.36,8.26,10.74,1.24,219.23,13.73,0.12,90.8,161.52,223.22,1.12,3,1
